Key	Portuguese	English
Acessório	Acessório	Accessory
Adaga	Adaga	Dagger
Água	Água	Water
Arco	Arco	Bow
Arma	Arma	Weapon
Arma de Fogo	Arma de Fogo	Gun
Armadura Comum	Armadura Comum	General Armor
Armadura Leve	Armadura Leve	Light Armor
Armadura Mágica	Armadura Mágica	Magic Armor
Armadura Pesada	Armadura Pesada	Heavy Armor
Besta	Besta	Crossbow
Cabeça	Cabeça	Head
Cajado	Cajado	Staff
Chicote	Chicote	Whip
Corpo	Corpo	Body
Escudo	Escudo	Escudo
Escudo Grande	Escudo Grande	Large Shield
Escudo Pequeno	Escudo Pequeno	Small Shield
Espada	Espada	Sword
Especial	Especial	Special
Físico	Físico	Physical
Fogo	Fogo	Fire
Garra	Garra	Claw
Gelo	Gelo	Ice
Lança	Lança	Spear
Luva	Luva	Glove
Luz	Luz	Light
Machado	Machado	Axe
Mágica	Mágica	Magic
Malho	Malho	Mace
maps.Map005.alright_i_promise_i_ll_try_not_to_wreck__c80a8e9b8d	Tudo bem, eu prometo. Tentarei não destruir o Opala.	Alright, I promise. I’ll try not to wreck the Opala.
maps.Map005.and_when_i_do_she_gets_on_my_case_1a82f596a9	E quando eu faço isso, ela fica no meu pé.	And when I do, she gets on my case.
maps.Map005.are_you_sending_me_away_haha_it_s_late_y_f8565ff39d	Você está me mandando embora? Haha É tarde, você está certo. 	Are you sending me away? Haha It’s late, you’re right. 
maps.Map005.at_least_i_ve_got_a_girlfriend_right_8945f908ff	Pelo menos eu tenho namorada, certo?	At least I’ve got a girlfriend, right?
maps.Map005.but_not_before_i_try_the_last_curve_75e452621c	Mas não antes de tentar a última curva...	But not before I try the last curve...
maps.Map005.chance_826b07e8e3	Chance	Chance
maps.Map005.choice.a_diploma_is_just_a_piece_of_paper_johnn_c029f9c3f8	Um diploma é apenas um pedaço de papel, Johnny.	A diploma is just a piece of paper, Johnny.
maps.Map005.choice.a_girlfriend_and_the_whole_school_at_you_d042fdd88b	Uma namorada e toda a escola aos seus pés!	A girlfriend and the whole school at your feet!
maps.Map005.choice.but_the_last_guy_who_tried_that_turn_die_b3c153ee01	Mas... O último cara que tentou aquela curva morreu. Você está falando sério sobre isso?	But... The last guy who tried that turn died. Are you serious about this?
maps.Map005.choice.couples_fight_that_s_normal_5e3b723e03	Casais brigam, isso é normal.	Couples fight, that’s normal.
maps.Map005.choice.do_you_want_to_talk_about_it_2458a686af	Você quer falar sobre isso?	Do you want to talk about it?
maps.Map005.choice.don_t_worry_about_it_you_can_make_it_up__f57f1d3689	Não se preocupe com isso. Você pode compensar mais tarde.	Don’t worry about it. You can make it up later.
maps.Map005.choice.it_s_just_a_phase_johnny_there_s_a_race__825299e0f6	É apenas uma fase, Johnny. Há uma corrida amanhã, você vai esquecer tudo isso.	It’s just a phase, Johnny. There’s a race tomorrow, you’ll forget all about this.
maps.Map005.choice.it_s_weird_that_you_re_not_even_excited__08bda81766	É estranho que você nem esteja animado com as corridas.	It’s weird that you’re not even excited about racing.
